ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
1174,77.79117906,"76,200.84",,56,,11094998,,50,,1,490,490,1,0,1,490,17745,370,,,,,,,838.88
1175,77.88235028,"58,799.73",,56,7131,2382880,2589,"26,676.17",,4,391,391,0.5,663,16,195,305103,841,,,,,,,122.8
1176,77,"58,150.19",,56,1443,2264106,260,"8,999.51",,7,11253,11253,0,33,3,,397,139,,,,,,,348.15
1177,78.14336806,"124,991.04",,56,1077,3823816,644,"6,716.05",344,6,675,974,0.5,791,4,487,358940,1732,,,,,,,215.56
1178,78.20382206,"118,291.00",,56,948,3696297,168,"5,910.12",4550,7,,,,,,,,,,,,,,,234.82
1179,78.91482863,"71,855.18",,56,5645,1042396,301,"22,874.88",38700,8,1565,4828,0.5,162,5,2431,311616,8400,,,,,,,182.99
1180,57.45380638,"57,307.07",,56,43,8742567,271,500,,6,,,,,,,62841,730,,,,,,,240.96
1181,79.11369213,"94,683.23",,56,,,,,,,,,,,,,,,,,,,,,324.42
1182,79.04708445,"62,556.54",,56,77848,386684,102,"169,855.76",,7,,,,,,,53327,981,,,,,,,2221.3
1183,80.37286552,"101,327.11",,56,,,,,,,,,,,,,,,,,,,,,259.5
1184,81.01175702,"94,737.65",,56,7131,1175758,488,"26,676.17",,6,1857,2831,0.3,116,6,832,166017,654,,,,,,,461.21
1185,81.2097506,"81,161.75",,56,,,,,,,,,,,,,,,,,,,,,249.15
1186,81.78920139,"65,484.98",,56,77589,366917,2585,"169,291.61",1423,6,48692,51363,0.4,135,5,20329,33870,180,,,,,,,236.98
1187,82.82330309,"60,044.36",,56,9243,2535717,1474,"34,574.25",,1,3538,4680,0.3,381,6,1214,,,,,,,,,3059.8
1188,81.0823346,"50,154.39",,56,1508,3085007,373,"9,402.47",,8,8377,9847,0.7,314,5,6614,15871,2586,,,,,,,355.17
1189,84.339745,"57,378.06",,56,8920,2446273,1,"33,365.36",,5,1367,1764,0.9,170,2,1584,3882,865,,,,,,,469.28
1190,86.3667783,"73,629.47",,56,19198,385576,412,"59,840.05",,7,1039,1061,0.2,289,11,178,271014,5209,,,,,,,336.55
1191,86.80705795,"61,684.75",,56,1637,1093727,1337,"10,208.40",,6,536,536,0.7,5,1,358,82191,6112,,,,,,,282.95
1192,53.03276658,"70,256.42",,56,14931,591079,148,"46,542.26",,8,9845,11608,0.8,225,4,8755,242765,2964,,,,,,,133.91
1193,74.62523671,"52,875.71",,56,4460,2823895,5194,"19,463.12",3850,2,,,,,,,,,,,,,,,117.43
1194,89.61715838,"105,504.53",,56,3878,1097678,231,"18,133.34",,6,70606,196744,0.4,176,4,83550,107630,93,,,,,,,175.64
1195,89.95388441,"54,106.78",,56,4912,1448759,316,"21,437.64",459,7,3,3,0,84,2,,76389,1783,,,,,,,321.16
1196,93.08613239,"83,688.77",,56,11053,1354271,226,"37,898.70",,3,356,918,0,261,7,0,155358,2558,,,,,,,413.35
1197,90.66424395,"76,706.27",,56,26696,2221767,1082,"74,890.73",145000,4,1241,1305,0.5,674,5,665,114258,7396,,,,,,,148.11
1198,94.45733162,"60,124.28",,56,8187,792841,1,"30,625.21",,6,2599,2787,0.9,465,1,2423,34022,836,,,,,,,5254.54
1199,93.811079,"87,008.77",,56,,,,,,,,,,,,,,,,,,,,,4070.91
1200,94.00844982,"148,587.85",,56,64,6012098,15,644.74,,1,,,,,,,,,,,,,,,753.56
1201,96.20026695,"57,536.24",,56,,,,,,,,,,,,,,,,,,,,,261.86
1202,96.07079861,"88,449.93",,56,30143,422852,592,"84,561.85",1296,7,,,,,,,42553,8310,,,,,,,119.73
1203,94.49567839,"75,484.57",,56,12690,811605,276,"43,513.32",,6,15886,18338,0.1,254,5,1110,30716,59,,,,,,,200.58
1204,96.74114285,"51,664.47",,56,3727,2855603,167,"17,428.16",,8,477,995,0.4,76,4,387,252014,2580,,,,,,,302.3
1205,97.3322547,"115,205.17",,56,7864,971086,716,"29,416.32",,2,842,943,0.8,109,2,785,10300,430,,,,,,,421.31
1206,97.52839755,"75,594.69",,56,18702,912922,198,"58,295.36",,7,1618,3592,0.3,2,2,1138,48204,1298,,,,,,,311.88
1207,98.45326426,"149,514.13",,56,18724,690000,127,"58,362.52",,3,41483,102045,0.3,480,5,32770,45234,757,,,,,,,275.69
1208,96.56679174,"64,130.59",,21,,,,,,,,,,,,,,,,,,,,,274.79
1209,91.09889972,"74,814.92",,56,,,,,,,,,,,,,,,,,,,,,159.99
1210,103.0774242,"100,140.18",,56,3102,1206181,566,"15,473.79",,2,,,,,,,19383,2631,,,,,,,2068.94
1211,107.5259827,"95,633.48",,56,39602,674575,229,"86,408.77",,9,8654,9812,0.4,248,4,3893,29663,733,,,,,,,383.99
1212,107.8192376,"113,478.24",,56,38547,499935,749,"84,105.16",380,6,11991,14918,0.7,457,3,10270,14380,682,,,,,,,180.14
1213,111.4607583,"58,577.27",,56,10450,689548,46,"35,830.15",,5,1241,1660,0.4,178,3,606,,,,,,,,,446.67
1214,113.0648492,"67,957.39",,56,19413,447693,224,"60,511.66",,3,13133,14782,0.6,213,4,8152,29237,1485,,,,,,,200.04
1215,124.5149918,"90,305.78",,56,4632,1408289,180,"20,215.32",,5,4858,5983,0.3,77,2,2057,543795,17514,,,,,,,228.07
1216,124.5948678,"118,484.11",,56,6420,761533,2476,"26,017.99",,7,524,543,0,397,3,2,115474,16259,,,,,,,353.78
1217,120.8789344,"80,326.69",,56,,,,,,,595,1785,0.3,51,2,595,,,,,,,,,297.95
1218,128.0823749,"116,445.95",,56,8554,967157,376,"31,995.28",,8,5205,5205,1,0,1,5205,75531,1718,,,,,,,477.67
1219,129.4904925,"135,806.34",,56,4007,1409973,167,"17,488.60",,6,1023,2600,0.6,252,3,1457,1352659,7261,,,,,,,186.36
1220,131.0098555,"103,126.03",,56,62550,339978,452,"136,476.96",12311,4,25787,27824,0.2,303,3,6234,76847,2649,,,,,,,800.19
1221,135.1444788,"55,991.33",,56,19133,369432,33422,"59,638.57",,7,18121,23679,0.7,163,2,16413,1872,642,,,,,,,251.81
1222,137.1318537,"139,736.46",,14,13208,746891,135,"45,286.36",,10,8281,9639,0.7,198,2,6331,8881,264,,,,,,,394.99
1223,7.01405802,"20,560.00",,55,,8216706,,50,,1,,,,,,,,,,,,,,,91.33
1224,7.000856108,"32,092.25",,55,1572,4491722,399,"9,805.44",,2,418,419,1,253,1,405,,,,,,,,,419.62
1225,5.966599462,"24,900.91",,55,21,13268461,,500,,1,,,,,,,,,,,,,,,4748.02
1226,6.236050627,"39,822.41",,55,474,4656104,26,"4,728.10",,6,547,547,0,188,3,,,,,,,,,,172.45
1227,7.143991935,"47,182.65",,55,3899,1485843,47,"18,234.09",,6,300,300,0.5,1,2,150,978,34,,,,,,,677.61
1228,7.782924881,"38,949.04",,55,3684,1480895,36,"17,226.68",,6,4937,4937,0.3,31,2,1728,,,,,,,,,232.45
