ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
1,4.6,"433,616.40",,55,861,3697577,135,"5,372.84",,1,828,2679,0.2,516,10,432,358082,2348,301292,240,436,0,0,0,486.95
2,6.2,"188,149.19",,55,2434,3863622,45,"15,178.28",,6,74,74,0,2,2,,48770,7186,262338,133,558,0,0,0,198.98
3,6.9,"209,656.76",,56,2801,942489,53,"13,969.39",,1,1261,1923,0.1,439,4,243,21618,323,161856,229,1251,0,0,0,2082.23
4,6.8,"185,180.44",,56,2564,1354704,4,"12,787.36",,6,2,3,0.3,62,4,1,,,4702229,3,0,0,0,0,317.88
5,7.8,"265,657.11",,56,3512,3097806,28,"16,420.75",,7,895,1334,0.2,44,4,299,498730,141,98046,155,2674,0,0,0,252.06
6,8.5,"170,486.24",,56,11333,801251,237,"38,859.09",714,8,1200,5894,0.7,364,7,3909,493820,1929,63564,1432,4896,3,417,0,269.06
7,8.6,"207,602.71",,56,86,6178595,30,859.65,,8,305,375,0.5,138,5,188,64533,1141,913972,423,37,0,0,0,592.06
8,8.1,"735,337.27",,13,2068,3016304,64,"12,894.82",55,8,37395,45627,0.6,198,4,25103,109670,590,144898,1155,1489,166,25621,73,845.53
9,7.4,"169,323.52",,29,1055,3369659,654,"6,581.73",,2,8837,26530,0.5,176,4,12827,,,297103,1836,447,0,0,0,186.55
10,5.7,"529,441.42",,38,41886,827878,42,"91,392.08",,6,57344,95370,0.4,274,4,35509,208011,604,28668,1898,14232,5,353,0,356.23
11,9.4,"325,395.68",,56,948,3806042,4,"5,910.12",70,6,300,862,0,360,5,,,,279267,112,499,0,0,0,615.65
12,9.0,"326,864.49",,52,5645,2921589,644,"22,874.88",,7,908,910,0.3,46,5,263,,,104591,637,2432,0,0,0,650.26
13,5.9,"979,654.88",,27,,10259766,,50,,1,113,113,0,2,2,,,,5140716,2,0,0,0,0,2990.43
14,10.5,"440,855.98",,56,11699,1057788,556,"40,114.99",,6,1472,5531,0.3,217,7,1773,227381,3442,48378,944,7050,0,0,0,396.72
15,10.6,"223,679.02",,56,1917,1495806,153,"11,954.57",102,8,886,886,0,84,6,1,187633,1494,224900,342,729,1,22,0,254.32
16,7.0,"285,734.84",,56,172,5838964,,"1,719.31",,2,,,,,,,72517,1965,803193,84,54,0,0,0,557.39
17,9.9,"160,626.64",,55,2133,1792929,12,"13,297.78",,2,25160,51137,0.5,251,3,26358,,,105965,1387,2386,0,0,0,177.45
18,8.6,"757,002.13",,29,24067,574735,210,"67,516.50",,6,960,0,0,9,9,,551592,2139,,,,,,,195.37
19,9.1,"609,262.55",,40,34453,611576,406,"96,650.75",,8,23627,34486,0.2,313,6,7670,,,22635,3337,19437,50,2865,0,327.2
20,9.3,"216,644.78",,31,27428,342780,24278,"76,945.84",196,12,1659,2293,0.4,84,3,900,105296,1132,31544,799,12491,55,3764,11,397.88
21,11.6,"272,291.58",,56,,,,,,,,,,,,,,,,,,,,,210.37
22,10.3,"304,742.15",,56,107,13168118,4,"1,074.56",888,8,962,1058,0.2,263,6,223,96086,249,,,,,,,348.21
23,10.0,"213,352.69",,29,26997,2113611,1,"75,736.95",9253,6,22509,44550,0.3,130,4,15517,177535,421,26373,2071,15929,0,0,0,205.63
24,11.9,"358,354.20",,26,7907,2361212,13,"29,577.50",,5,,,,,,,32424,82,,,,,,,5421.79
25,7.2,"885,944.13",24,38,123117,225233,31965,"153,502.16",475,10,37721,42715,0.7,365,2,27877,9231,349,5497,8709,111908,78,3816,220,164.21
26,12.4,"220,354.73",,55,1659,2064290,6,"10,342.72",,6,603,603,0.3,31,3,205,36188,915,115822,148,2087,52,3232,0,1042.25
27,13.1,"221,606.28",,56,,,,,,,31239,52879,0.6,103,2,31505,,,136687,478,1627,0,0,0,211.87
28,13.2,"151,507.83",,29,1809,3454482,12,"11,282.97",,2,561,563,0.5,23,2,259,778525,1163,321453,131,388,0,0,0,832.69
29,13.3,"852,914.18",,55,,,,,,,,,,,,,,,,,,,,,160.08
30,11.0,"250,815.66",,29,79356,682990,45,"173,146.62",178100,8,25391,39958,0.5,215,2,20207,657685,1736,15492,3238,31610,0,0,0,850.94
31,11.7,"1,723,010.95",,29,652347,273928,2,"610,005.89",,7,,,,,,,1944998,841,,,,,,,127.94
32,10.1,"259,132.80",13,32,90474,199145,11249,"197,405.01",13300,10,61348,103047,0.4,307,7,42902,80924,1502,12965,8042,39489,0,0,0,548.86
33,13.6,"253,256.10",,56,14306,870842,1595,"44,594.60",,7,7484,7902,0.9,287,2,6906,151495,5847,52674,778,6322,5,56,0,301.48
34,14.0,"291,393.88",,55,43,8846327,4,500,,6,,,,,,,146221,2008,606515,57,110,0,0,0,472.45
35,13.9,"212,835.94",,56,10579,2797007,4,"36,273.41",,6,8496,11433,0.4,153,2,4800,,,53522,236,6192,11,469,2,2016.24
36,13.9,"301,625.53",,56,41779,2279270,141,"91,157.02",,7,1737,2147,0.2,374,4,485,343599,1467,78217,1241,3687,0,0,0,258.46
37,14.6,"835,192.54",,29,16634,697980,30,"51,847.94",2474,7,61186,113541,0.5,389,4,59753,93509,1441,35888,944,10547,6,606,0,186.65
38,13.7,"153,432.95",,26,1378,2341133,4,"8,596.55",,7,4744,8705,0.8,104,2,6792,,,127973,161,1799,1,6,3,723.38
39,14.6,"382,082.99",,26,21,9504871,154,500,,6,,,,,,,37721,9383,1155384,124,18,0,0,0,630.84
40,13.4,"574,024.46",,38,7929,11679122,1,"29,658.10",5015391,7,15253,14280,0.3,224,3,4354,6487873,14255,,,,,,,261.63
41,15.2,"210,068.07",,55,86,8640194,,859.65,,1,,,,,,,107823,1204,,,,,,,3800.46
42,15.2,"191,873.92",,55,560,4475843,111,"3,492.34",,8,28152,88579,0.5,257,4,45046,94963,550,241766,1366,642,0,0,0,255.8
43,15.8,"152,477.56",,30,8080,1154543,393,"30,222.24",,8,5682,9105,0.6,419,6,5237,242512,15613,72246,578,4124,10,2395,1,466.06
44,11.6,"155,164.67",,56,948,1936569,218,"5,910.12",,6,627,925,0.5,1,2,463,203565,1031,242001,401,641,0,0,0,289.34
45,15.7,"152,478.27",,55,5063,1393368,5,"22,095.82",,2,1114,1560,0.3,202,7,539,55941,381,113506,323,2150,0,0,0,281.83
46,14.2,"312,042.14",,56,23313,2144082,129,"65,400.94",,7,30411,61081,0.4,171,6,25141,,,63038,1220,4951,0,0,0,280.72
47,15.6,"238,329.43",,26,474,2189060,31,"4,728.10",1680,2,,,,,,,129297,1959,1953061,1,3,0,0,0,342.51
48,14.9,"161,294.78",,56,2714,3335979,172,"13,539.56",,8,,,,,,,94743,535,179135,545,1065,0,0,0,242.85
49,16.9,"201,466.07",,55,90819,1980773,138,"198,157.21",,7,40752,53582,0.4,176,6,18904,13256,113,9055,3257,62051,40,3854,6,202.35
50,16.0,"338,691.51",,52,40938,2249411,249,"89,323.53",,6,23347,25026,0.7,234,3,16894,21323,443,22311,5954,19804,0,0,0,334.17
51,15.0,"174,144.68",,55,155890,2037991,285,"194,362.64",46400,4,78423,122157,0.2,328,9,27025,89075,498,14337,6072,34936,0,0,0,419.13
52,,"1,268,223.94",1,16,650774,98660,12705,"608,535.07",,6,112284,132903,0.6,292,2,83525,47369,5088,2470,34606,286729,79,5038,0,1042.78
53,16.07422006,"201,320.55",,55,4115,3546940,120,"17,958.73",,1,563,563,0,871,6,,,,120288,34,1976,0,0,0,120.01
54,16.4683184,"1,369,147.81",,38,250307,382033,406,"312,081.66",10083,9,107472,216034,0.6,367,3,123269,219581,671,4726,15169,134079,1,850,1,201.24
55,16.52789837,"315,344.34",,55,1529,3761715,3,"9,536.79",,6,9833,32890,0.6,210,5,18323,79982,254,192583,516,946,0,0,0,181.89
56,16.2737963,"273,616.67",,56,2865,12900830,,"14,291.76",503,6,355,0,0,0,1,,11125,917,,,,,,,1154.31
57,15.83888292,"153,539.86",,55,1529,3492094,162,"9,536.79",,2,518,1265,0.1,381,11,124,264884,1797,166283,346,1197,0,0,0,226.61
58,16.03905317,"155,751.15",,56,1917,1241232,1591,"11,954.57",,6,3437,4074,0.6,119,2,2501,493,219,146132,307,1469,0,0,65,88.03
59,15.64980249,"338,969.40",,56,5192,2633398,214,"21,041.40",28900,7,34585,74894,0.6,258,4,41426,122157,134,66430,1522,4609,0,0,0,124.8
60,16,"746,879.18",,50,,8437134,,50,,7,3718,3718,0.3,4,4,962,,,24041,2288,17914,0,0,0,192.41
61,17.05543123,"159,388.05",,56,16957,833833,546,"52,855.35",47,6,7227,22850,0.5,231,4,12459,99777,5503,54489,2632,6034,16,2408,6,248.18
62,18.36846662,"202,343.45",,56,,,,,,,,,,,,,,,,,,,,,593.73
63,16.80664875,"285,931.62",,55,13509,2212609,452,"42,109.66",,7,377,377,1,0,1,377,54588,938,51169,363,6558,0,0,0,676.49
64,17.17042861,"252,493.52",,56,3792,2808094,246,"17,730.38",,9,595,595,1,0,1,595,307536,3601,111867,736,2197,0,0,0,520.76
65,17.49406885,"235,552.90",,55,689,4246195,48,"4,298.27",,7,486,486,0,125,3,19,95712,911,441015,115,213,0,0,0,323.82
66,16.43360626,"196,575.80",,32,67247,233956,2648,"146,725.66",47989,10,3601,4011,0.5,214,6,2026,407205,5316,16494,9154,29194,124,8203,25,368.53
67,14.69289949,"417,987.94",,22,366,2268204,1,"3,653.53",,3,466,718,0.4,289,3,301,,,812893,91,52,0,0,0,348.44
68,18.95113799,"157,161.63",,56,711,4684405,240,"4,432.59",,7,1062,1062,0.6,82,3,658,114879,1799,334423,185,360,60,2273,3,388.38
69,12.29373432,"551,098.83",4,29,39258,411391,7558,"85,656.57",,6,11360,11436,0.9,168,2,10507,624855,11174,25284,3411,16813,0,0,0,518.28
70,19.07920512,"539,930.65",,56,59382,534736,51,"129,566.14",1701,6,97507,138086,0.3,153,4,39704,51697,1185,17309,4703,27416,0,0,0,198.39
71,16.30609692,"258,423.44",,29,12281,895506,254,"42,109.66",1510,7,5777,6342,0.2,203,6,1468,433214,9715,45703,1631,7592,1,4,0,319.69
72,18.88494624,"414,063.72",,56,4826,2857211,222,"21,061.55",,5,4177,5036,0.4,733,16,1944,,,205598,530,849,0,0,0,614.58
73,19.10593153,"211,553.94",,29,28743,2328707,181,"80,632.96",,8,6013,7461,0.7,287,2,5297,13264,204,95231,1455,2789,73,2450,50,406.02
74,19.43256534,"678,571.52",,29,,,,,,,,,,,,,,,,,,,,,2519.57
75,19.84279309,"467,674.89",,38,5472,1509445,4,"22,176.41",,4,,,,,,,175010,615,,,,,,,564.78
76,19,"448,855.71",2,29,59985,246514,272,"130,882.48",42500,9,5914,8598,0.4,228,5,3743,550149,3526,26443,2931,15876,2,446,0,487.59
77,21.45539987,"348,592.52",,56,24369,388873,14,"68,362.72",3785,6,97,97,1,0,1,97,74959,207,,,,,,,183.69
78,19.23938844,"268,979.33",,26,7131,935113,589,"26,676.17",,8,20231,26147,0.3,153,3,8541,12802,377,61421,5661,5137,2,28,174,1350.35
79,20.31180294,"165,705.51",,56,948,2550989,16,"5,910.12",155000,1,595,1785,0.3,69,3,595,141413,2494,293478,116,458,0,0,0,828.01
80,19.07802531,"313,842.86",,56,1098,4235027,151,"6,850.37",31,7,10765,24421,0.2,81,4,5945,51631,675,267684,79,538,48,13777,7,620.8
81,16.95198029,"239,837.84",,29,6938,821808,520,"25,950.83",,9,8973,14045,0.7,33,2,9321,74227,428,121373,818,1949,48,2305,13,244.07
82,15.5633856,"674,480.94",,38,13940,2060418,39,"43,452.87",,6,2104,3095,0.4,238,11,1191,141009,1259,74020,215,3987,7,250,0,375.57
83,19.28244213,"468,600.61",,29,91056,343625,605,"198,674.35",,6,19978,30164,0.5,210,4,15499,269350,2230,15027,19007,32930,0,0,0,134.63
84,20.63482452,"269,069.67",,24,27472,495782,553,"77,066.73",359,9,8893,9896,0.5,192,4,5147,158250,3276,49271,3550,6883,34,2600,3,2856.19
85,20.21383177,"945,869.97",,36,60977,251703,124,"133,045.05",237,6,15866,27244,0.3,236,8,8972,91872,2796,16792,1731,28536,11,1082,13,389.75
86,22.48981108,"293,540.56",,26,3275,3413386,147,"15,312.60",,6,4280,11895,0.2,235,19,2632,173317,1248,161832,498,1251,0,0,0,480.9
87,22.16951314,"364,729.69",,38,13100,2279792,148,"44,916.97",,8,14012,66427,0.3,108,6,21480,181596,374,54163,2206,6087,66,4300,0,163.17
88,21.69892473,"329,439.35",,29,7067,2609010,367,"26,434.39",616,6,2348,4154,0.2,504,12,902,145997,3208,87536,546,3140,0,0,0,234.95
89,23.13503323,"389,157.16",,14,30316,666796,363,"85,045.41",27200,9,,,,,,,116865,3233,,,,,,,202.66
90,22.87865367,"252,213.98",,55,,13577449,26,,,3,,,,,,,,,623019,44,103,0,0,0,318
91,23.68168309,"321,915.28",,56,149318,539331,412,"186,169.05",2209,9,,,,,,,74097,2200,,,,,,,481.63
92,22.78705197,"286,577.72",,29,43373,2255102,36,"94,635.93",,3,8076,9542,0.5,162,2,5068,64677,2243,19687,2002,23264,0,0,0,558.82
93,23.8520221,"162,803.49",,56,10234,2335561,340,"35,091.39",,6,478,478,0.2,105,4,93,101706,1153,86312,464,3205,1,4,0,339.88
94,22.531875,"176,694.87",,15,53608,146129,16,"116,966.82",117200,9,,,,,,,539387,3474,,,,,,,187.71
95,23.84787037,"784,410.01",,38,67096,2075365,4,"146,396.57",,7,24092,39878,0.6,252,4,24419,181858,58,65333,528,4718,2,590,0,227.62
96,22.85231407,"249,775.10",,26,16526,690067,2,"51,512.14",75900,9,3899,4584,0.7,326,2,3163,159200,621,37974,871,9770,4,230,0,241.19
97,23.2375855,"158,238.60",,56,193,5518843,4,"1,934.22",,1,,,,,,,,,502170,242,164,0,0,0,542.79
98,22.76073439,"920,149.72",,50,46066,321003,286,"100,512.48",12560,10,20432,28028,0.6,233,4,16862,447186,1443,29117,3458,13922,158,9692,30,1139.21
99,24.78674806,"185,604.20",,56,1185,3331373,181,"7,387.66",,6,4002,4002,0,54,6,,78521,7620,414084,494,240,0,0,0,8782.36
100,24.23832661,"190,360.06",,14,9308,766822,4,"31,914.69",,7,1391,1642,0.3,63,2,517,225653,865,74842,516,3923,0,0,0,233.32
101,24.53863202,"351,149.68",,38,12928,676846,126,"44,325.96",119000,5,5352,13400,0,348,8,175,983968,18032,57530,1143,5603,0,0,0,267.69
102,25.21530578,"204,952.18",,56,3835,2849017,126,"17,931.86",,2,12693,53181,0.1,26,4,3890,429760,2033,221416,763,748,0,0,0,185.95
103,25.42465838,"1,095,154.42",,44,11053,2467417,2,"37,898.70",,7,18864,36360,0.4,194,3,13821,116154,625,33985,3316,11323,182,15557,27,165.27
104,24.70724014,"239,524.65",,56,1077,3771793,15,"6,716.05",,2,562,562,1,0,1,562,70025,4958,169921,497,1156,0,0,0,557.83
105,24.7190513,"2,946,101.17",,50,274569,1846676,155,"256,748.08",8363,8,6070,7762,0.3,53,1,2112,160133,924,,,,,,,183.18
106,25.44173387,"260,084.92",,31,2348,1648171,229,"14,641.00",,6,595,595,0,347,8,,80697,1663,176193,131,1092,4,42,0,423.69
107,26.17764486,"152,755.80",,29,2887,1023673,244,"14,399.22",481,7,5602,7387,0.6,303,3,4112,86944,1937,143621,335,1510,0,0,0,237.27
108,24.83836768,"166,036.75",,56,1098,3717573,46,"6,850.37",,6,418,418,1,1,1,418,126297,551,184263,425,1018,2,22,0,559.96
109,26.19374253,"180,928.72",,56,2283,3044437,253,"14,238.03",,6,,,,,,,73629,447,,,,,,,351.12
110,23.68698439,"193,082.66",,56,4654,2728906,180,"20,309.35",,7,505,505,0.5,8,2,271,106994,253,79546,2023,3601,33,1255,0,234.06
111,26,"160,348.16",,56,538,4993866,690,"5,372.84",,1,64,383,0,1148,48,,52830,1734,315363,170,401,0,0,0,368.53
112,26.57156325,"162,091.15",,56,1120,3497121,48,"6,984.69",,5,732,732,0.2,129,4,122,120653,816,271016,179,526,0,0,0,215.33
113,26,"166,186.37",,56,21869,331401,37,"61,351.16",,6,,,,,,,51060,1090,,,,,,,326.14
114,27.07226068,"423,574.18",,56,2908,3458305,56,"14,506.67",,6,299,299,1,0,1,299,144482,393,161150,391,1260,1,5,3,366.91
115,26.34600321,"449,942.26",,38,10277,876204,350,"35,239.14",,8,,,,,,,758551,6476,,,,,,,330.4
116,27.30544878,"206,308.50",,56,5235,2623775,143,"21,216.01",18569,5,25902,66438,0.4,635,7,26613,,,104284,2287,2443,0,0,0,327.2
117,26.40939068,"236,414.87",,11,5257,2398257,261,"21,303.32",3485,12,2044,2483,0.6,16,4,1583,195386,1418,129544,449,1764,223,13015,9,1026.34
118,26.81688359,"491,744.84",,56,,13400303,132,,,2,562,562,1,0,1,562,72551,1803,631276,4,100,0,0,0,1136.02
119,26.6042615,"423,920.95",,26,39839,2286077,112,"86,925.90",,1,,,,,,,85616,273,,,,,,,233.88
120,25.00752053,"194,573.83",,29,452,4474850,182,"4,513.18",,2,,,,,,,48646,2064,,,,,,,1173.32
121,26.33435895,"172,348.29",,56,14608,995757,16,"45,534.85",,12,11985,12324,0.4,270,6,4739,39468,601,56524,1718,5739,5,50,0,159.93
122,28.15109618,"241,004.76",46,56,24994,2069631,14,"70,115.61",,8,,,,,,,30512,273,,,,,,,1595.06
123,24.53074709,"570,635.40",,34,114477,191472,7350,"142,729.61",,5,24363,33588,0.3,128,9,9661,623821,98326,10259,11927,53121,0,0,0,320.53
124,27.55206317,"154,524.44",,56,6830,1539935,29,"25,547.87",,11,589,653,0.5,639,8,327,64422,860,101681,270,2534,50,2091,1,258.51
125,28.24715502,"357,569.02",,38,3404,3571006,4,"15,917.05",,5,639,654,0.6,490,2,384,,,95336,273,2785,0,0,0,224.46
126,29.60272364,"240,742.66",,56,2305,2857109,134,"14,372.35",,3,8393,207340,0.3,952,8,56970,99738,7552,201020,684,881,0,0,0,245.47
127,28.47292301,"350,289.55",,56,33720,690540,214,"94,595.64",,8,23326,38731,0.4,441,7,13739,39249,818,24640,3640,17360,0,0,0,184.45
128,28.82044878,"173,529.69",,56,1917,3371198,340,"11,954.57",56,14,9288,17109,0.8,250,2,12942,95617,1203,192355,777,948,6,90,0,416.54
129,23.56384819,"277,032.03",,6,57421,384321,618,"125,288.01",,9,191,191,1,0,1,191,19917,469,,,,,,,580.48
130,26.39390606,"252,637.24",,56,6722,2636483,48,"27,240.32",,2,595,893,0.2,1333,23,149,176514,724,84093,996,3327,0,0,0,267.89
131,27.26597521,"823,270.22",6,38,74960,248739,671,"163,556.09",29774,11,9945,14530,0.4,170,4,5641,1642396,2038,14323,5050,34973,73,25655,0,133.99
132,29.30388254,"237,091.76",,56,33009,2371845,192,"92,600.97",,7,8467,11633,0.5,528,6,5483,,,26713,1837,15642,0,0,0,1293.16
133,25.95702509,"181,903.64",,56,26028,540157,1,"73,016.95",,4,58500,95110,0.7,465,2,67462,2768,1005,19496,6764,23534,0,0,0,1168.86
134,29.08635865,"700,965.06",,56,,13586579,27,,,4,336,432,0,3,2,,121114,1135,440322,34,214,0,0,0,457.84
135,26.13021953,"254,724.11",,56,5149,3127141,193,"20,866.78",,4,4689,5070,0.3,98,4,1527,,,97954,933,2677,0,0,0,186.09
136,29.36931153,"173,965.62",,26,1163,4846083,1,"7,253.33",,8,,,,,,,87247,2865,,,,,,,215.55
137,28.4703812,"928,429.46",,50,,,,,,,343,343,1,5,1,342,,,,,,,,,1299.52
138,28.94492384,"192,935.13",,56,387,4463900,51,"3,868.44",,2,1193,1193,0.5,1112,3,595,33544,655,277992,108,503,0,0,0,681.87
139,26.42750336,"262,711.81",,56,2499,1742528,51,"12,464.99",,7,16141,16886,0.4,254,3,6736,457607,431,86253,232,3208,49,7594,0,128.89
140,27.1048361,"176,212.11",,14,21288,411595,396,"59,719.16",,9,8603,9215,0.6,195,3,5856,46812,4352,20651,2935,21919,0,0,0,4194.75
141,28.24539576,"229,826.31",,29,1917,2964482,270,"11,954.57",,8,1050,5851,0.3,90,3,1862,693,290,241099,3166,645,10,803,7,1043.57
142,31.17834341,"739,939.07",,56,,,,,,,,,,,,,,,,,,,,,703.15
143,30.78038829,"208,177.51",,56,1896,3318594,186,"11,820.25",,6,522,1646,0.1,452,16,165,161101,1539,246398,383,621,0,0,0,158.15
144,23,"599,264.50",,14,680465,56102,1641,"636,299.24",6900,12,65029,77788,0.4,272,5,32699,,,2890,35178,238243,142,8837,90,264.31
145,31.75174843,"486,326.44",,56,2628,3393931,1,"13,109.74",,11,711,1533,0.5,314,10,777,82191,1982,166558,399,1194,0,0,0,395.92
146,29.83882019,"184,330.34",,56,6140,1024389,270,"24,882.98",,5,850,1572,0.6,297,294,968,55923,752,88484,713,3093,10,928,0,196.94
147,#N/A,"304,337.11",,#N/A,344,4102694,602,"3,438.62",,2,695,695,0.9,6,6,658,,,581290,315,119,0,0,0,#N/A
148,33.10525239,"809,009.38",,33,178061,171319,32,"222,005.93",5134,2,143233,231220,0.5,199,4,111371,30941,104,7289,5634,79890,0,0,0,863.36
149,31.8609151,"171,452.25",,56,1163,4327988,187,"7,253.33",,9,441,441,1,1,1,441,33388,1174,201319,381,879,101,5124,4,202.26
150,32.90427531,"165,367.47",,56,4223,2852299,47,"18,428.85",,8,5253,12698,0.4,294,3,4663,87015,3149,130219,1112,1750,1,33,0,229.83
151,33.69488053,"404,483.87",,29,8963,648936,1,"33,526.54",4856,12,7209,7794,0.2,147,5,1637,165168,482,62788,1383,4978,46,9104,0,170.69
152,32.2277046,"286,285.24",,56,,,,,,,,,,,,,,,,,,,,,476.78
153,34.49406474,"239,187.92",,56,,,,,,,,,,,,,,,,,,,,,242.45
154,34.573722,"260,938.33",,56,1400,3257166,131,"8,730.87",,2,,,,,,,80587,1981,207390,202,837,0,0,0,496.98
155,33.4960286,"161,944.44",,56,1508,3751867,53,"9,402.47",,2,23163,42587,0.5,565,5,23061,46977,646,244644,529,629,0,0,0,92.34
156,33.70050553,"344,044.68",,26,2068,4176727,18,"12,894.82",,6,71,71,0,88,21,,86151,1769,273476,122,518,0,0,0,447.49
157,33.80483348,"175,980.11",,56,14220,2293608,1,"44,325.96",,7,16509,17291,0.5,162,2,8932,150257,2056,73074,6674,4060,47,7297,11,2087.94
158,34.74676635,"168,627.02",,14,2930,3244198,168,"14,614.13",,9,688,891,0.8,21,2,698,112443,6069,152099,311,1378,3,61,0,388.47
159,33.2468287,"182,770.65",,56,7972,2453139,59,"29,819.28",,9,8989,16591,0.7,40,3,11060,2312,262,74461,1131,3953,1,4,0,1445.64
160,32.07636537,"187,961.91",,56,42640,258597,1516,"93,037.51",33100,9,24970,42260,0.4,287,12,16987,22953,1690,20960,9789,21501,6,142,26,341.43
161,33.95699559,"525,719.47",,56,56538,366105,202,"123,360.50",8615,6,25288,138525,0.6,295,3,89372,153445,934,17636,3115,26811,30,1155,2,186.97
162,33.96723641,"229,229.44",,56,2693,3277747,212,"13,432.11",,8,753,1131,0.3,334,6,304,234221,3616,179159,225,1065,0,0,0,273.73
163,34.70839083,"314,860.51",,56,11850,2491268,44,"40,632.13",,7,11080,60201,0.7,103,3,41579,,,47831,1499,7158,0,0,0,297.41
164,34.71841697,"186,205.42",,56,28721,908173,357,"80,572.51",47,8,13739,24623,0.5,142,6,11106,133238,1927,27933,752,14753,267,26297,0,237.14
165,35.74595654,"266,213.74",,56,35315,2179491,370,"99,068.53",688,9,11262,13369,0.2,244,4,2907,318619,2772,24057,3183,17890,0,0,0,636.36
166,35.15782482,"307,370.46",,56,4373,2636487,227,"19,087.02",,10,906,1281,0.1,247,5,100,295608,2598,113798,1609,2141,3,69,0,208.07
167,35.19887619,"269,228.02",,56,58585,1950613,34,"127,826.68",161000,10,60112,77201,0.4,190,4,29753,710026,153,18224,2951,25737,3,484,0,251.48
168,35.67512993,"361,453.36",,56,,,,,,,,,,,,,,,,,,,,,299.22
169,36.44308468,"695,290.71",,26,,,,,,,,,,,,,,,1948460,1,3,0,0,0,2031.97
170,36.02264001,"178,299.05",,56,30186,611578,79,"84,682.74",,10,30803,63514,0.4,200,4,25384,115236,219,25900,2035,16318,0,0,0,369.77
171,34.41981818,"163,828.96",,56,2090,3805842,106,"13,029.14",,8,7195,34187,0.7,5,6,23871,79330,2385,207925,150,834,47,1137,0,421.33
172,35.65531623,"658,095.59",,56,6636,2816003,304,"26,891.08",,8,2198,7392,0.3,491,12,2393,122853,1113,87030,578,3166,0,0,0,241.11
173,35.88931041,"410,786.86",,56,6183,965112,233,"25,057.60",,1,,,,,,,172999,4540,,,,,,,704.18
174,36.49379368,"200,330.90",,56,35508,2301976,110,"99,612.53",,10,9258,20010,0.6,491,4,12727,613922,932,54090,1227,6099,10,66,0,357.32
175,36.11001157,"158,904.01",,56,732,3725955,139,"4,566.91",,10,5312,5312,0.8,59,1,4150,31073,474,375291,796,290,0,0,0,267.02
176,36.6830522,"260,250.74",,56,6787,2612942,286,"25,386.68",,8,9835,40635,0.1,1171,16,4315,121350,1763,65199,1804,4731,0,0,0,169.14
177,34.75677158,"159,825.00",,56,1228,3353206,32,"7,656.30",215,7,476,476,0,42,3,,34015,2236,263812,252,552,1,9,0,897.16
178,37.36928278,"281,978.67",,56,,13592022,105,,,1,299,299,0,70,4,,65550,931,438088,34,216,0,0,0,364.6
179,31.6510286,"175,671.47",,56,711,4863593,237,"4,432.59",95,2,339,542,0,1155,13,0,60684,2536,340133,184,349,0,0,0,393.65
180,36.63624664,"180,284.96",,26,2003,1380078,4,"12,491.86",,3,2427,3345,0.2,298,5,788,,,84178,239,3323,0,0,0,295.88
181,37.54315039,"152,090.84",,56,39214,747153,389,"85,562.54",,8,17678,39256,0.7,542,2,25793,78817,429,33630,1175,11477,15,186,17,167.86
182,37.82850806,"157,925.37",,56,1809,3317479,35,"11,282.97",,1,711,716,0.5,1598,3,358,109094,500,215966,209,782,0,0,0,417.36
183,26.42219795,"365,839.41",,26,581,4469910,1,"3,626.66",,1,499,499,0,279,56,,82775,867,413516,117,241,0,0,0,449.64
184,38.8417503,"169,539.27",,56,1185,2586915,12,"7,387.66",,7,277,280,0.7,341,5,187,280793,1212,267317,220,539,4,19,5,408.51
185,38.03564404,"178,353.62",,56,,,,,,,,,,,,,,,,,,,,,209.87
186,18.61288904,"501,005.25",,56,2003,3078110,27,"12,491.86",,1,,,,,,,95903,547,,,,,,,1165.67
187,38.72524418,"264,893.26",,29,517,2503803,113,"5,157.93",,8,824,1263,0.9,0,1,1158,121646,2097,250260,152,605,52,3274,1,308.92
188,38.81417936,"164,086.55",,56,3102,2936884,37,"15,473.79",,8,883,1104,0.8,5,2,861,128656,613,161061,677,1261,0,0,0,2735.33
189,38.07584715,"236,731.06",,14,3318,1036410,4,"15,514.08",154,8,7131,7757,0.8,309,2,6396,123687,593,118561,674,2017,0,0,0,241.37
190,39.44789091,"180,509.61",,56,3210,2765399,37,"15,010.38",,6,1222,3038,0.3,164,12,760,94485,3586,142717,189,1523,28,794,0,458.33
191,39.53718937,"404,647.38",,27,732,4293480,152,"4,566.91",7,4,,,,,,,28112,714,,,,,,,176.93
192,39.499148,"312,233.60",,56,4654,2652281,183,"20,309.35",,4,676,1241,0.5,1810,20,613,,,259758,306,568,0,0,0,663.04
193,39.46378435,"816,916.63",,32,174700,216248,36,"217,815.11",,8,6507,7642,0.5,188,4,3987,993553,19292,7884,1469,73037,0,0,0,484.67
