,N,Features,Model,R² Score,MAE,RMSE,MedAE
44,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Linear Regression,0.04602508665436256,167774.89054201465,748458.2079204981,67104.50175866608
45,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Ridge Regression,0.04611501453921374,167764.70236785532,748422.9298178583,67137.55958263802
46,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
47,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
48,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Decision Tree,0.017070549463494622,169447.90663617462,759731.7074655442,57206.64398648648
49,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Random Forest,0.38636995774897864,148315.71748867465,600277.942346406,50499.41129999989
50,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Gradient Boosting,0.1596358796514693,154764.49060963924,702478.1641815443,57851.16248460019
51,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",AdaBoost,0.04611628636757259,176291.25527094377,748422.4308762467,95499.34674899493
52,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",K-Nearest Neighbors,0.3488620989904194,129801.72561758243,618351.709680463,42133.50799999998
53,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",Support Vector Regressor,0.12050690011786303,139679.1078288226,718646.4698385998,63240.72459865274
54,5,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - real visits', 'Followers']",XGBRegressor,0.039701787047748405,164774.2905827878,750934.6403429348,62354.46187500001
55,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Linear Regression,0.044759099265602065,167403.3333387775,748954.669874526,66377.36649305579
56,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Ridge Regression,0.04484903198370516,167393.38191721347,748919.413263055,66410.68541879112
57,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
58,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
59,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Decision Tree,0.1995463130243067,162486.79003513494,685594.2759407712,61114.44
60,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Random Forest,0.38110740005863486,148219.87469692912,602846.4714251683,53910.86710000002
61,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Gradient Boosting,0.10875667122564092,153124.55745792095,723431.1822206073,58893.42401403029
62,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",AdaBoost,-8.399423567031405,875224.2342135998,2349360.640645313,131054.78674899484
63,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",K-Nearest Neighbors,0.3351277535234468,137118.294210989,624839.0748040312,53078.334
64,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Support Vector Regressor,0.09490986200411511,140571.2337985125,729029.3193722788,61168.37559789819
65,6,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",XGBRegressor,0.12555468479528864,160064.16402097998,716581.1934450326,56701.11509765625
66,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Linear Regression,0.044700733863910824,167812.34401503112,748977.5501618041,68754.4998036438
67,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Ridge Regression,0.044791291788602194,167799.59684669756,748942.0495273655,68790.87000468155
68,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",Lasso Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
69,7,"['Rank - Domain', 'Estimated Sales - Domain', 'Number of technologies', 'Avg - Average Bounce Rate', 'Avg - Average Time On Site', 'Avg - real visits', 'Followers']",ElasticNet Regression,-0.0003035880477380015,191763.65778098095,766416.7569607027,127495.71805937326
